Institution,Address,City,State,Classification,EFMaleCount,EFFemaleCount,EFTotalCount,STUDENTAID_MEN,STUDENTAID_WOMEN,STUAID_MEN_RATIO,STUAID_WOMEN_RATIO,RECRUITEXP_MEN,RECRUITEXP_WOMEN,Participants_MEN_Baseball,Participants_MEN_Bskball,Participants_MEN_FldHcky,Participants_MEN_Football,Participants_MEN_Golf,Participants_MEN_IceHcky,Participants_MEN_Lacrsse,Participants_MEN_Soccer,Participants_MEN_Softball,Participants_MEN_Tennis,Participants_MEN_XCountry,Participants_MEN_Vollball,Participants_WOMEN_Baseball,Participants_WOMEN_Bskball,Participants_WOMEN_FldHcky,Participants_WOMEN_Football,Participants_WOMEN_Golf,Participants_WOMEN_IceHcky,Participants_WOMEN_Lacrsse,Participants_WOMEN_Soccer,Participants_WOMEN_Softball,Participants_WOMEN_Tennis,Participants_WOMEN_XCountry,Participants_WOMEN_Vollball,OPEXPPERTEAM_MEN_Baseball,OPEXPPERTEAM_MEN_Bskball,OPEXPPERTEAM_MEN_FldHcky,OPEXPPERTEAM_MEN_Football,OPEXPPERTEAM_MEN_Golf,OPEXPPERTEAM_MEN_IceHcky,OPEXPPERTEAM_MEN_Lacrsse,OPEXPPERTEAM_MEN_Soccer,OPEXPPERTEAM_MEN_Softball,OPEXPPERTEAM_MEN_Tennis,OPEXPPERTEAM_MEN_XCountry,OPEXPPERTEAM_MEN_Vollball,OPEXPPERTEAM_WOMEN_Baseball,OPEXPPERTEAM_WOMEN_Bskball,OPEXPPERTEAM_WOMEN_FldHcky,OPEXPPERTEAM_WOMEN_Football,OPEXPPERTEAM_WOMEN_Golf,OPEXPPERTEAM_WOMEN_IceHcky,OPEXPPERTEAM_WOMEN_Lacrsse,OPEXPPERTEAM_WOMEN_Soccer,OPEXPPERTEAM_WOMEN_Softball,OPEXPPERTEAM_WOMEN_Tennis,OPEXPPERTEAM_WOMEN_XCountry,OPEXPPERTEAM_WOMEN_Vollball,REV_MEN_Baseball,REV_MEN_Bskball,REV_MEN_FldHcky,REV_MEN_Football,REV_MEN_Golf,REV_MEN_IceHcky,REV_MEN_Lacrsse,REV_MEN_Soccer,REV_MEN_Softball,REV_MEN_Tennis,REV_MEN_XCountry,REV_MEN_Vollball,REV_WOMEN_Baseball,REV_WOMEN_Bskball,REV_WOMEN_FldHcky,REV_WOMEN_Football,REV_WOMEN_Golf,REV_WOMEN_IceHcky,REV_WOMEN_Lacrsse,REV_WOMEN_Soccer,REV_WOMEN_Softball,REV_WOMEN_Tennis,REV_WOMEN_XCountry,REV_WOMEN_Vollball,EXP_MEN_Baseball,EXP_MEN_Bskball,EXP_MEN_FldHcky,EXP_MEN_Football,EXP_MEN_Golf,EXP_MEN_IceHcky,EXP_MEN_Lacrsse,EXP_MEN_Soccer,EXP_MEN_Softball,EXP_MEN_Tennis,EXP_MEN_XCountry,EXP_MEN_Vollball,EXP_WOMEN_Baseball,EXP_WOMEN_Bskball,EXP_WOMEN_FldHcky,EXP_WOMEN_Football,EXP_WOMEN_Golf,EXP_WOMEN_IceHcky,EXP_WOMEN_Lacrsse,EXP_WOMEN_Soccer,EXP_WOMEN_Softball,EXP_WOMEN_Tennis,EXP_WOMEN_XCountry,EXP_WOMEN_Vollball
Cypress College,9200 Valley View,Cypress,CA,CCCAA,1951,2556,4507,0.0,0.0,0,0,0.0,0.0,37.0,18.0,0.0,0.0,8.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,20.0,17.0,12.0,0.0,16.0,51111.0,28395.0,0.0,0.0,14039.0,0.0,0.0,21320.0,0.0,0.0,0.0,0.0,0.0,26469.0,0.0,0.0,0.0,0.0,0.0,26419.0,38304.0,8837.0,0.0,13399.0,310471.0,233804.0,0.0,0.0,47170.0,0.0,0.0,50291.0,0.0,0.0,0.0,0.0,0.0,282113.0,0.0,0.0,0.0,0.0,0.0,127082.0,91781.0,31373.0,0.0,88919.0,176648.0,156986.0,0.0,0.0,29862.0,0.0,0.0,41915.0,0.0,0.0,0.0,0.0,0.0,190542.0,0.0,0.0,0.0,0.0,0.0,114035.0,69054.0,24497.0,0.0,69675.0
De Anza College,21250 Stevens Creek Blvd.,Cupertino,CA,CCCAA,4245,3676,7921,0.0,0.0,0,0,0.0,0.0,37.0,16.0,0.0,73.0,0.0,0.0,0.0,35.0,0.0,0.0,7.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,11.0,15.0,9939.0,9775.0,0.0,14585.0,0.0,0.0,0.0,13337.0,0.0,0.0,4941.0,0.0,0.0,7055.0,0.0,0.0,0.0,0.0,0.0,4553.0,0.0,0.0,5523.0,8503.0,55068.0,123098.0,0.0,199264.0,0.0,0.0,0.0,110205.0,0.0,0.0,40869.0,0.0,0.0,37637.0,0.0,0.0,0.0,0.0,0.0,117093.0,0.0,0.0,41451.0,81844.0,42828.0,122098.0,0.0,150815.0,0.0,0.0,0.0,107155.0,0.0,0.0,34695.0,0.0,0.0,35137.0,0.0,0.0,0.0,0.0,0.0,115570.0,0.0,0.0,35277.0,74358.0
College of the Desert,43-500 Monterey Ave,Palm Desert,CA,CCCAA,1523,2082,3605,0.0,0.0,0,0,0.0,0.0,43.0,14.0,0.0,64.0,12.0,0.0,0.0,29.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,31.0,17.0,5.0,3.0,12.0,69529.0,26567.0,0.0,41002.0,17802.0,0.0,0.0,35721.0,0.0,12957.0,4410.0,0.0,0.0,0.0,0.0,0.0,12883.0,0.0,0.0,33505.0,37012.0,11885.0,3410.0,21986.0,113443.0,68392.0,0.0,265403.0,18802.0,0.0,0.0,76796.0,0.0,33495.0,21028.0,0.0,0.0,0.0,0.0,0.0,42957.0,0.0,0.0,74180.0,72587.0,38799.0,20028.0,62061.0,113443.0,68392.0,0.0,265403.0,18802.0,0.0,0.0,76796.0,0.0,33495.0,21028.0,0.0,0.0,0.0,0.0,0.0,42957.0,0.0,0.0,74180.0,72587.0,38799.0,20028.0,62061.0
Diablo Valley College,321 Golf Club Rd,Pleasant Hill,CA,CCCAA,2975,2882,5857,0.0,0.0,0,0,0.0,0.0,42.0,18.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,18.0,14.0,5.0,2.0,8.0,45015.0,18044.0,0.0,77823.0,0.0,0.0,0.0,0.0,0.0,2888.0,3055.0,0.0,0.0,16104.0,0.0,0.0,0.0,0.0,0.0,35675.0,12573.0,3610.0,1222.0,17019.0,98019.0,58874.0,0.0,136066.0,0.0,0.0,0.0,0.0,0.0,37153.0,28567.0,0.0,0.0,53952.0,0.0,0.0,0.0,0.0,0.0,78476.0,54553.0,37875.0,26734.0,57584.0,91957.0,54150.0,0.0,126717.0,0.0,0.0,0.0,0.0,0.0,33428.0,26830.0,0.0,0.0,52316.0,0.0,0.0,0.0,0.0,0.0,68977.0,51385.0,34150.0,24997.0,47471.0
Dominican University of California,50 Acacia Ave,San Rafael,CA,NCAA Division II without football,346,787,1133,483456.0,656424.0,42,58,131328.0,246464.0,0.0,15.0,0.0,0.0,10.0,0.0,0.0,39.0,0.0,0.0,8.0,0.0,0.0,16.0,0.0,0.0,9.0,0.0,0.0,34.0,17.0,9.0,7.0,19.0,0.0,98429.0,0.0,0.0,47679.0,0.0,0.0,73816.0,0.0,0.0,10219.0,0.0,0.0,97242.0,0.0,0.0,42911.0,0.0,0.0,67748.0,115058.0,53890.0,7363.0,91537.0,0.0,695797.0,0.0,0.0,227910.0,0.0,0.0,423142.0,0.0,0.0,94665.0,0.0,0.0,725803.0,0.0,0.0,338242.0,0.0,0.0,531506.0,514603.0,416222.0,222217.0,500633.0,0.0,583604.0,0.0,0.0,174299.0,0.0,0.0,331154.0,0.0,0.0,74000.0,0.0,0.0,584404.0,0.0,0.0,140769.0,0.0,0.0,350350.0,329914.0,215588.0,39255.0,310603.0
East Los Angeles College,1301 Avenida Cesar Chavez,Monterey Park,CA,CCCAA,2129,2772,4901,0.0,0.0,0,0,0.0,0.0,48.0,18.0,0.0,113.0,0.0,0.0,0.0,29.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,0.0,8.0,17.0,40312.0,43904.0,0.0,85366.0,0.0,0.0,0.0,21409.0,0.0,0.0,12737.0,0.0,0.0,38462.0,0.0,0.0,0.0,0.0,0.0,23849.0,44614.0,0.0,6762.0,18576.0,96160.0,103973.0,0.0,273726.0,0.0,0.0,0.0,63052.0,0.0,0.0,21629.0,0.0,0.0,113697.0,0.0,0.0,0.0,0.0,0.0,58532.0,100124.0,0.0,21629.0,54605.0,88171.0,89522.0,0.0,210891.0,0.0,0.0,0.0,54238.0,0.0,0.0,21033.0,0.0,0.0,107832.0,0.0,0.0,0.0,0.0,0.0,52674.0,76361.0,0.0,21033.0,53113.0
El Camino Community College District,16007 Crenshaw Blvd,Torrance,CA,CCCAA,2867,3132,5999,0.0,0.0,0,0,0.0,0.0,36.0,13.0,0.0,112.0,6.0,0.0,0.0,27.0,0.0,9.0,0.0,18.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,26.0,17.0,6.0,0.0,16.0,30039.0,1745.0,0.0,23622.0,1946.0,0.0,0.0,5021.0,0.0,2476.0,0.0,7015.0,0.0,1792.0,0.0,0.0,0.0,0.0,0.0,3682.0,16950.0,1953.0,0.0,7390.0,138565.0,47414.0,0.0,277504.0,32422.0,0.0,0.0,80932.0,0.0,24179.0,0.0,53216.0,0.0,67155.0,0.0,0.0,0.0,0.0,0.0,88796.0,135753.0,23829.0,0.0,60544.0,133170.0,47414.0,0.0,277504.0,32422.0,0.0,0.0,80932.0,0.0,24179.0,0.0,49108.0,0.0,67155.0,0.0,0.0,0.0,0.0,0.0,88796.0,127975.0,23829.0,0.0,54470.0
Evergreen Valley College,3095 Yerba Buena Rd,San Jose,CA,CCCAA,894,1029,1923,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306773.0,0.0,0.0,0.0,0.0
Feather River Community College District,570 Golden Eagle Ave,Quincy,CA,CCCAA,205,216,421,6500.0,6500.0,50,50,11360.0,8447.0,41.0,14.0,0.0,72.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,15.0,19.0,0.0,0.0,17.0,83341.0,29678.0,0.0,62244.0,0.0,0.0,0.0,29628.0,0.0,0.0,0.0,0.0,0.0,35456.0,0.0,0.0,0.0,0.0,0.0,16056.0,43368.0,0.0,0.0,40361.0,280358.0,147584.0,0.0,270770.0,0.0,0.0,0.0,104110.0,0.0,0.0,0.0,0.0,0.0,135455.0,0.0,0.0,0.0,0.0,0.0,85532.0,177588.0,0.0,0.0,123094.0,280358.0,147584.0,0.0,270770.0,0.0,0.0,0.0,104110.0,0.0,0.0,0.0,0.0,0.0,135455.0,0.0,0.0,0.0,0.0,0.0,85532.0,177588.0,0.0,0.0,123094.0
Foothill College,12345 El Monte Rd,Los Altos Hills,CA,CCCAA,1515,1687,3202,0.0,0.0,0,0,0.0,0.0,0.0,13.0,0.0,64.0,0.0,0.0,0.0,32.0,0.0,7.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,3.0,0.0,0.0,0.0,1910.0,0.0,16391.0,0.0,0.0,0.0,4248.0,0.0,761.0,0.0,0.0,0.0,5786.0,0.0,0.0,0.0,0.0,0.0,3662.0,0.0,673.0,0.0,0.0,0.0,25931.0,0.0,194079.0,0.0,0.0,0.0,51688.0,0.0,79363.0,0.0,0.0,0.0,24022.0,0.0,0.0,0.0,0.0,0.0,69636.0,0.0,79275.0,0.0,0.0,0.0,25931.0,0.0,194079.0,0.0,0.0,0.0,51688.0,0.0,79363.0,0.0,0.0,0.0,24022.0,0.0,0.0,0.0,0.0,0.0,69636.0,0.0,79275.0,0.0,0.0
Fresno City College,1101 E. University Ave,Fresno,CA,CCCAA,1923,2672,4595,0.0,0.0,0,0,0.0,0.0,38.0,16.0,0.0,82.0,9.0,0.0,0.0,36.0,0.0,7.0,7.0,0.0,0.0,13.0,0.0,0.0,3.0,0.0,0.0,37.0,20.0,6.0,3.0,16.0,120200.0,87067.0,0.0,71027.0,8922.0,0.0,0.0,52800.0,0.0,6878.0,4264.0,0.0,0.0,103083.0,0.0,0.0,9868.0,0.0,0.0,69333.0,53852.0,5341.0,6251.0,45650.0,171448.0,124346.0,0.0,136455.0,10345.0,0.0,0.0,145200.0,0.0,14243.0,12504.0,0.0,0.0,126513.0,0.0,0.0,15376.0,0.0,0.0,134203.0,165043.0,9837.0,15204.0,118677.0,163759.0,143343.0,0.0,171903.0,13560.0,0.0,0.0,128380.0,0.0,42438.0,13938.0,0.0,0.0,118108.0,0.0,0.0,12937.0,0.0,0.0,137934.0,130108.0,46946.0,11538.0,50013.0
Fresno Pacific University,1717 S Chestnut Ave,Fresno,CA,NCAA Division II without football,421,972,1393,1757373.0,1664195.0,51,49,22888.0,14605.0,43.0,20.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,9.0,18.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,8.0,11.0,17.0,170756.0,127602.0,0.0,0.0,0.0,0.0,0.0,102991.0,0.0,28994.0,34454.0,0.0,0.0,95765.0,0.0,0.0,0.0,0.0,0.0,83334.0,0.0,36924.0,21117.0,94625.0,695034.0,706143.0,0.0,0.0,0.0,0.0,0.0,553640.0,0.0,168555.0,86716.0,0.0,0.0,589782.0,0.0,0.0,0.0,0.0,0.0,542789.0,0.0,272833.0,53148.0,485172.0,666625.0,689428.0,0.0,0.0,0.0,0.0,0.0,547968.0,0.0,168555.0,86716.0,0.0,0.0,575770.0,0.0,0.0,0.0,0.0,0.0,537632.0,0.0,266553.0,53148.0,484462.0
Fullerton College,321 E Chapman Avenue,Fullerton,CA,CCCAA,3068,3460,6528,0.0,0.0,0,0,0.0,0.0,45.0,14.0,0.0,123.0,0.0,0.0,0.0,40.0,0.0,7.0,9.0,19.0,0.0,13.0,0.0,0.0,5.0,0.0,0.0,24.0,22.0,5.0,5.0,18.0,38257.0,24587.0,0.0,90238.0,0.0,0.0,0.0,26986.0,0.0,5580.0,5913.0,10256.0,0.0,21569.0,0.0,0.0,7892.0,0.0,0.0,19654.0,36425.0,4521.0,2563.0,15489.0,89899.0,92591.0,0.0,258258.0,0.0,0.0,0.0,92567.0,0.0,22542.0,28969.0,38791.0,0.0,75328.0,0.0,0.0,29562.0,0.0,0.0,82596.0,78521.0,19698.0,25891.0,35694.0,89899.0,92591.0,0.0,258258.0,0.0,0.0,0.0,92567.0,0.0,22542.0,28969.0,38791.0,0.0,75328.0,0.0,0.0,29562.0,0.0,0.0,82596.0,78521.0,19698.0,25891.0,35694.0
Gavilan College,5055 Santa Teresa Blvd,Gilroy,CA,CCCAA,630,774,1404,0.0,0.0,0,0,0.0,0.0,0.0,14.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,27598.0,0.0,33907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16033.0,0.0,43696.0,0.0,144720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28008.0,0.0,48167.0,0.0,139724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22829.0
Glendale Community College,1500 N Verdugo Rd,Glendale,CA,CCCAA,2480,3024,5504,0.0,0.0,0,0,0.0,0.0,42.0,21.0,0.0,103.0,13.0,0.0,0.0,28.0,0.0,10.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,9.0,11.0,55450.0,33775.0,0.0,27275.0,3860.0,0.0,0.0,26194.0,0.0,5879.0,12475.0,0.0,0.0,25350.0,0.0,0.0,0.0,0.0,0.0,0.0,28871.0,6275.0,11125.0,22706.0,122104.0,60835.0,0.0,101698.0,14015.0,0.0,0.0,95370.0,0.0,17352.0,60835.0,0.0,0.0,113462.0,0.0,0.0,0.0,0.0,0.0,0.0,66745.0,17748.0,43021.0,77441.0,122104.0,60835.0,0.0,101698.0,14015.0,0.0,0.0,95370.0,0.0,17352.0,38354.0,0.0,0.0,113462.0,0.0,0.0,0.0,0.0,0.0,0.0,66745.0,17748.0,43021.0,77441.0
Golden West College,15744 Goldenwest St.,Huntington Beach,CA,CCCAA,1336,1567,2903,0.0,0.0,0,0,0.0,0.0,38.0,18.0,0.0,85.0,0.0,0.0,0.0,37.0,0.0,0.0,6.0,8.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,0.0,10.0,18.0,73741.0,34557.0,0.0,137579.0,0.0,0.0,0.0,24251.0,0.0,0.0,2579.0,8831.0,0.0,35757.0,0.0,0.0,0.0,0.0,0.0,25188.0,34205.0,0.0,1067.0,22881.0,119091.0,71858.0,0.0,352876.0,0.0,0.0,0.0,80349.0,0.0,0.0,22444.0,31076.0,0.0,70486.0,0.0,0.0,0.0,0.0,0.0,71693.0,61460.0,0.0,23914.0,110755.0,119091.0,71858.0,0.0,352876.0,0.0,0.0,0.0,80349.0,0.0,0.0,22444.0,31076.0,0.0,70486.0,0.0,0.0,0.0,0.0,0.0,71693.0,61460.0,0.0,23914.0,110755.0
Grossmont College,8800 Grossmont College Dr,El Cajon,CA,CCCAA,1607,2177,3784,0.0,0.0,0,0,0.0,0.0,32.0,16.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,10.0,0.0,23.0,9700.0,11071.0,0.0,20455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7317.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,8612.0,0.0,5451.0,0.0,10704.0,111588.0,135571.0,0.0,143181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38950.0,0.0,108924.0,0.0,0.0,0.0,0.0,0.0,44394.0,0.0,50736.0,0.0,60223.0,97093.0,118093.0,0.0,139705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35519.0,0.0,98501.0,0.0,0.0,0.0,0.0,0.0,37538.0,0.0,40969.0,0.0,57761.0
Hartnell College,411 Central Avenue,Salinas,CA,CCCAA,1281,1719,3000,0.0,0.0,0,0,0.0,0.0,25.0,15.0,0.0,46.0,0.0,0.0,0.0,27.0,0.0,0.0,21.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,33.0,14.0,0.0,9.0,14.0,4001.0,7461.0,0.0,13092.0,0.0,0.0,0.0,6523.0,0.0,0.0,2320.0,0.0,0.0,5095.0,0.0,0.0,0.0,0.0,0.0,5438.0,2017.0,0.0,2624.0,6220.0,36856.0,42573.0,0.0,73265.0,0.0,0.0,0.0,37168.0,0.0,0.0,13350.0,0.0,0.0,33823.0,0.0,0.0,0.0,0.0,0.0,34742.0,22872.0,0.0,12872.0,31782.0,36967.0,37369.0,0.0,58147.0,0.0,0.0,0.0,28125.0,0.0,0.0,33576.0,0.0,0.0,32740.0,0.0,0.0,0.0,0.0,0.0,27102.0,15782.0,0.0,31789.0,23840.0
Holy Names University,3500 Mountain Blvd,Oakland,CA,NCAA Division II without football,169,323,492,1078949.0,914799.0,54,46,7411.0,1175.0,31.0,18.0,0.0,0.0,14.0,0.0,0.0,34.0,0.0,8.0,5.0,0.0,0.0,18.0,0.0,0.0,11.0,0.0,0.0,24.0,21.0,4.0,5.0,11.0,85932.0,99990.0,0.0,0.0,43428.0,0.0,0.0,44132.0,0.0,28384.0,11975.0,0.0,0.0,6912.0,0.0,0.0,33957.0,0.0,0.0,40416.0,95109.0,23268.0,12925.0,54087.0,460562.0,472978.0,0.0,0.0,293245.0,0.0,0.0,374821.0,0.0,234787.0,99542.0,0.0,0.0,394870.0,0.0,0.0,212153.0,0.0,0.0,292217.0,311511.0,190336.0,103816.0,303349.0,460562.0,472978.0,0.0,0.0,293245.0,0.0,0.0,374821.0,0.0,234787.0,99542.0,0.0,0.0,394870.0,0.0,0.0,212153.0,0.0,0.0,292217.0,311511.0,190336.0,103816.0,303349.0
California State Polytechnic University-Humboldt,1 Harpst Street,Arcata,CA,NCAA Division II without football,1885,2758,4643,401031.0,473030.0,46,54,40790.0,31467.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,25.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,31.0,29.0,0.0,13.0,22.0,0.0,145192.0,0.0,0.0,0.0,0.0,0.0,130662.0,0.0,0.0,40321.0,0.0,0.0,110477.0,0.0,0.0,0.0,0.0,0.0,127965.0,109176.0,0.0,20966.0,75419.0,0.0,626458.0,0.0,0.0,0.0,0.0,0.0,498929.0,0.0,0.0,168988.0,0.0,0.0,503153.0,0.0,0.0,0.0,0.0,0.0,413772.0,493099.0,0.0,103950.0,390788.0,0.0,613382.0,0.0,0.0,0.0,0.0,0.0,496429.0,0.0,0.0,160307.0,0.0,0.0,497057.0,0.0,0.0,0.0,0.0,0.0,396196.0,479460.0,0.0,95269.0,388085.0
Imperial Valley College,380 E. Aten Road,Imperial,CA,CCCAA,1203,1859,3062,0.0,0.0,0,0,1557.0,0.0,27.0,9.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,11.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,17.0,12.0,10.0,1.0,11.0,36558.0,26418.0,0.0,0.0,0.0,0.0,0.0,15831.0,0.0,14669.0,411.0,0.0,0.0,27442.0,0.0,0.0,0.0,0.0,0.0,12869.0,22496.0,12998.0,11927.0,23601.0,68313.0,51729.0,0.0,0.0,0.0,0.0,0.0,27771.0,0.0,26796.0,440.0,0.0,0.0,44325.0,0.0,0.0,0.0,0.0,0.0,25563.0,38948.0,26072.0,23867.0,38626.0,52713.0,43448.0,0.0,0.0,0.0,0.0,0.0,27171.0,0.0,26134.0,411.0,0.0,0.0,42762.0,0.0,0.0,0.0,0.0,0.0,24309.0,37826.0,24463.0,23502.0,36531.0
Irvine Valley College,5500 Irvine Center Drive,Irvine,CA,CCCAA,2064,1671,3735,0.0,0.0,0,0,0.0,0.0,31.0,21.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,15.0,0.0,24.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,13.0,166477.0,56429.0,0.0,0.0,0.0,0.0,0.0,49037.0,0.0,34656.0,0.0,29484.0,0.0,60985.0,0.0,0.0,0.0,0.0,0.0,43084.0,0.0,0.0,0.0,26778.0,364970.0,250721.0,0.0,0.0,0.0,0.0,0.0,175411.0,0.0,102584.0,0.0,80633.0,0.0,242600.0,0.0,0.0,0.0,0.0,0.0,107953.0,0.0,0.0,0.0,70514.0,364970.0,250721.0,0.0,0.0,0.0,0.0,0.0,175411.0,0.0,102584.0,0.0,80633.0,0.0,242600.0,0.0,0.0,0.0,0.0,0.0,107953.0,0.0,0.0,0.0,70514.0
Reedley College,995 N Reed Ave,Reedley,CA,CCCAA,639,608,1247,0.0,0.0,0,0,14150.0,19810.0,33.0,18.0,0.0,87.0,9.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,12.0,0.0,0.0,6.0,0.0,0.0,30.0,14.0,8.0,0.0,11.0,72371.0,32253.0,0.0,81702.0,24899.0,0.0,0.0,0.0,0.0,10840.0,0.0,0.0,0.0,28544.0,0.0,0.0,20127.0,0.0,0.0,31512.0,21085.0,11975.0,0.0,25287.0,254622.0,126219.0,0.0,312602.0,86405.0,0.0,0.0,0.0,0.0,65873.0,0.0,0.0,0.0,99908.0,0.0,0.0,81412.0,0.0,0.0,154791.0,110816.0,67698.0,0.0,64183.0,214631.0,111868.0,0.0,284902.0,65362.0,0.0,0.0,0.0,0.0,65873.0,0.0,0.0,0.0,92907.0,0.0,0.0,60369.0,0.0,0.0,143030.0,99975.0,66711.0,0.0,61408.0
Life Pacific University,1100 W. Covina Blvd.,San Dimas,CA,NAIA Division I,157,201,358,194835.0,200523.0,49,51,6741.0,7651.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,0.0,36902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,0.0,0.0,22194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,665.0,51651.0,0.0,218423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19561.0,0.0,0.0,118092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17804.0,216303.0,0.0,218423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19561.0,0.0,0.0,118092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17804.0,216303.0
University of La Verne,1950 Third St,La Verne,CA,NCAA Division III with football,1137,1754,2891,0.0,0.0,0,0,5025.0,7303.0,42.0,13.0,0.0,130.0,9.0,0.0,0.0,27.0,0.0,0.0,11.0,0.0,0.0,27.0,0.0,0.0,7.0,0.0,0.0,33.0,27.0,0.0,6.0,19.0,88573.0,32556.0,0.0,101239.0,10514.0,0.0,0.0,32726.0,0.0,0.0,3341.0,0.0,0.0,37510.0,0.0,0.0,6196.0,0.0,0.0,36639.0,66894.0,0.0,1823.0,37042.0,267313.0,194363.0,0.0,555077.0,64382.0,0.0,0.0,150373.0,0.0,0.0,43697.0,0.0,0.0,201095.0,0.0,0.0,38810.0,0.0,0.0,168777.0,182902.0,0.0,43697.0,191992.0,253622.0,170762.0,0.0,545302.0,69868.0,0.0,0.0,156530.0,0.0,0.0,35641.0,0.0,0.0,167749.0,0.0,0.0,36915.0,0.0,0.0,169474.0,181814.0,0.0,35641.0,183100.0
