Institution,Address,City,State,Classification,EFMaleCount,EFFemaleCount,EFTotalCount,STUDENTAID_MEN,STUDENTAID_WOMEN,STUAID_MEN_RATIO,STUAID_WOMEN_RATIO,RECRUITEXP_MEN,RECRUITEXP_WOMEN,Participants_MEN_Baseball,Participants_MEN_Bskball,Participants_MEN_FldHcky,Participants_MEN_Football,Participants_MEN_Golf,Participants_MEN_IceHcky,Participants_MEN_Lacrsse,Participants_MEN_Soccer,Participants_MEN_Softball,Participants_MEN_Tennis,Participants_MEN_XCountry,Participants_MEN_Vollball,Participants_WOMEN_Baseball,Participants_WOMEN_Bskball,Participants_WOMEN_FldHcky,Participants_WOMEN_Football,Participants_WOMEN_Golf,Participants_WOMEN_IceHcky,Participants_WOMEN_Lacrsse,Participants_WOMEN_Soccer,Participants_WOMEN_Softball,Participants_WOMEN_Tennis,Participants_WOMEN_XCountry,Participants_WOMEN_Vollball,OPEXPPERTEAM_MEN_Baseball,OPEXPPERTEAM_MEN_Bskball,OPEXPPERTEAM_MEN_FldHcky,OPEXPPERTEAM_MEN_Football,OPEXPPERTEAM_MEN_Golf,OPEXPPERTEAM_MEN_IceHcky,OPEXPPERTEAM_MEN_Lacrsse,OPEXPPERTEAM_MEN_Soccer,OPEXPPERTEAM_MEN_Softball,OPEXPPERTEAM_MEN_Tennis,OPEXPPERTEAM_MEN_XCountry,OPEXPPERTEAM_MEN_Vollball,OPEXPPERTEAM_WOMEN_Baseball,OPEXPPERTEAM_WOMEN_Bskball,OPEXPPERTEAM_WOMEN_FldHcky,OPEXPPERTEAM_WOMEN_Football,OPEXPPERTEAM_WOMEN_Golf,OPEXPPERTEAM_WOMEN_IceHcky,OPEXPPERTEAM_WOMEN_Lacrsse,OPEXPPERTEAM_WOMEN_Soccer,OPEXPPERTEAM_WOMEN_Softball,OPEXPPERTEAM_WOMEN_Tennis,OPEXPPERTEAM_WOMEN_XCountry,OPEXPPERTEAM_WOMEN_Vollball,REV_MEN_Baseball,REV_MEN_Bskball,REV_MEN_FldHcky,REV_MEN_Football,REV_MEN_Golf,REV_MEN_IceHcky,REV_MEN_Lacrsse,REV_MEN_Soccer,REV_MEN_Softball,REV_MEN_Tennis,REV_MEN_XCountry,REV_MEN_Vollball,REV_WOMEN_Baseball,REV_WOMEN_Bskball,REV_WOMEN_FldHcky,REV_WOMEN_Football,REV_WOMEN_Golf,REV_WOMEN_IceHcky,REV_WOMEN_Lacrsse,REV_WOMEN_Soccer,REV_WOMEN_Softball,REV_WOMEN_Tennis,REV_WOMEN_XCountry,REV_WOMEN_Vollball,EXP_MEN_Baseball,EXP_MEN_Bskball,EXP_MEN_FldHcky,EXP_MEN_Football,EXP_MEN_Golf,EXP_MEN_IceHcky,EXP_MEN_Lacrsse,EXP_MEN_Soccer,EXP_MEN_Softball,EXP_MEN_Tennis,EXP_MEN_XCountry,EXP_MEN_Vollball,EXP_WOMEN_Baseball,EXP_WOMEN_Bskball,EXP_WOMEN_FldHcky,EXP_WOMEN_Football,EXP_WOMEN_Golf,EXP_WOMEN_IceHcky,EXP_WOMEN_Lacrsse,EXP_WOMEN_Soccer,EXP_WOMEN_Softball,EXP_WOMEN_Tennis,EXP_WOMEN_XCountry,EXP_WOMEN_Vollball
Samford University,800 Lakeshore Drive,Birmingham,AL,NCAA Division I-FCS,1185,2364,3549,5527162.0,3971702.0,58,42,183009.0,75060.0,45.0,17.0,0.0,118.0,12.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,13.0,0.0,0.0,7.0,0.0,0.0,27.0,23.0,11.0,0.0,17.0,218035.0,327334.0,0.0,608275.0,93676.0,0.0,0.0,0.0,0.0,55074.0,0.0,0.0,0.0,192828.0,0.0,0.0,82355.0,0.0,0.0,131671.0,130864.0,47887.0,0.0,75589.0,1524857.0,2653856.0,0.0,6899907.0,390831.0,0.0,0.0,0.0,0.0,433883.0,0.0,0.0,0.0,1454078.0,0.0,0.0,445176.0,0.0,0.0,1250271.0,893138.0,554627.0,0.0,1006840.0,1524857.0,2653856.0,0.0,6899907.0,361297.0,0.0,0.0,0.0,0.0,396991.0,0.0,0.0,0.0,1454078.0,0.0,0.0,445176.0,0.0,0.0,1250271.0,857543.0,528442.0,0.0,944665.0
Shelton State Community College,9500 Old Greensboro Rd,Tuscaloosa,AL,NJCAA Division I,766,889,1655,262348.0,228081.0,53,47,0.0,0.0,36.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,129666.0,114354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104681.0,0.0,0.0,0.0,0.0,0.0,0.0,76607.0,0.0,0.0,0.0,469716.0,327936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331268.0,0.0,0.0,0.0,0.0,0.0,0.0,392554.0,0.0,0.0,0.0,469716.0,327936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331268.0,0.0,0.0,0.0,0.0,0.0,0.0,392554.0,0.0,0.0,0.0
Snead State Community College,102 Elder Street,Boaz,AL,NJCAA Division I,384,591,975,367068.0,344888.0,52,48,2821.0,1171.0,39.0,20.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,6.0,0.0,0.0,0.0,25.0,5.0,0.0,15.0,177155.0,36046.0,0.0,0.0,22150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25302.0,0.0,0.0,15452.0,0.0,0.0,0.0,104278.0,1821.0,0.0,20178.0,457408.0,227120.0,0.0,0.0,84108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146444.0,0.0,0.0,67099.0,0.0,0.0,0.0,289119.0,38973.0,0.0,109658.0,457408.0,227120.0,0.0,0.0,84108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146444.0,0.0,0.0,67099.0,0.0,0.0,0.0,289119.0,38973.0,0.0,109658.0
University of South Alabama,307 N University Blvd,Mobile,AL,NCAA Division I-FBS,2785,4604,7389,4502426.0,2940383.0,60,40,326516.0,80574.0,41.0,20.0,0.0,118.0,9.0,0.0,0.0,0.0,0.0,7.0,12.0,0.0,0.0,15.0,0.0,0.0,7.0,0.0,0.0,26.0,24.0,10.0,10.0,18.0,403008.0,549920.0,0.0,1893598.0,50636.0,0.0,0.0,0.0,0.0,72859.0,13978.0,0.0,0.0,325280.0,0.0,0.0,35991.0,0.0,0.0,141060.0,376693.0,82277.0,11648.0,145600.0,1584479.0,2425856.0,0.0,10563772.0,378759.0,0.0,0.0,0.0,0.0,385251.0,85886.0,0.0,0.0,1561217.0,0.0,0.0,364392.0,0.0,0.0,989107.0,1226594.0,559594.0,100327.0,936644.0,1584479.0,2425856.0,0.0,10563772.0,378759.0,0.0,0.0,0.0,0.0,385251.0,85886.0,0.0,0.0,1561217.0,0.0,0.0,364392.0,0.0,0.0,989107.0,1226594.0,559594.0,100327.0,936644.0
Spring Hill College,4000 Dauphin St,Mobile,AL,NCAA Division II without football,393,555,948,1052767.0,916348.0,53,47,13258.0,13404.0,46.0,16.0,0.0,0.0,15.0,0.0,0.0,23.0,0.0,15.0,0.0,0.0,0.0,20.0,0.0,0.0,15.0,0.0,0.0,25.0,23.0,13.0,0.0,22.0,89950.0,86394.0,0.0,0.0,30232.0,0.0,0.0,55849.0,0.0,16006.0,0.0,0.0,0.0,71949.0,0.0,0.0,25858.0,0.0,0.0,50436.0,62234.0,16362.0,0.0,42984.0,425953.0,432285.0,0.0,0.0,172190.0,0.0,0.0,486181.0,0.0,123699.0,0.0,0.0,0.0,314068.0,0.0,0.0,183336.0,0.0,0.0,210988.0,287076.0,109236.0,0.0,288384.0,402654.0,400048.0,0.0,0.0,159025.0,0.0,0.0,438360.0,0.0,122562.0,0.0,0.0,0.0,306046.0,0.0,0.0,175922.0,0.0,0.0,196513.0,276372.0,108143.0,0.0,273293.0
Stillman College,3601 Stillman Boulevard,Tuscaloosa,AL,NAIA Division I,261,375,636,143300.0,143300.0,50,50,0.0,0.0,30.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,6.0,0.0,25770.0,24934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1785.0,0.0,0.0,9386.0,0.0,0.0,0.0,0.0,0.0,0.0,4662.0,0.0,2142.0,0.0,111365.0,165715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42295.0,0.0,0.0,165273.0,0.0,0.0,0.0,0.0,0.0,0.0,99229.0,0.0,42295.0,0.0,111365.0,165715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28397.0,0.0,0.0,165273.0,0.0,0.0,0.0,0.0,0.0,0.0,69328.0,0.0,28831.0,0.0
Talladega College,627 West Battle Street,Talladega,AL,NAIA Division I,502,502,1004,243000.0,250800.0,49,51,1135.0,1080.0,40.0,22.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,30.0,19.0,0.0,0.0,15.0,26163.0,34003.0,0.0,0.0,0.0,0.0,0.0,23245.0,0.0,0.0,0.0,0.0,0.0,27458.0,0.0,0.0,0.0,0.0,0.0,22020.0,20299.0,0.0,0.0,36231.0,156000.0,130134.0,0.0,0.0,0.0,0.0,0.0,101218.0,0.0,0.0,0.0,0.0,0.0,131500.0,0.0,0.0,0.0,0.0,0.0,106221.0,135000.0,0.0,0.0,100110.0,160121.0,182410.0,0.0,0.0,0.0,0.0,0.0,95119.0,0.0,0.0,0.0,0.0,0.0,182352.0,0.0,0.0,0.0,0.0,0.0,152645.0,90148.0,0.0,0.0,81314.0
Troy University,University Avenue,Troy,AL,NCAA Division I-FBS,2625,4776,7401,4542727.0,2995692.0,60,40,276980.0,139600.0,38.0,18.0,0.0,121.0,12.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,15.0,0.0,0.0,8.0,0.0,0.0,30.0,23.0,8.0,0.0,17.0,200807.0,200805.0,0.0,706601.0,33221.0,0.0,0.0,0.0,0.0,69546.0,0.0,0.0,0.0,152545.0,0.0,0.0,37856.0,0.0,0.0,55538.0,164131.0,67544.0,0.0,52966.0,1547704.0,1770680.0,0.0,9673170.0,401134.0,0.0,0.0,0.0,0.0,433986.0,0.0,0.0,0.0,1578894.0,0.0,0.0,310820.0,0.0,0.0,891767.0,987388.0,433528.0,0.0,826251.0,1361231.0,1670039.0,0.0,8705292.0,283886.0,0.0,0.0,0.0,0.0,410795.0,0.0,0.0,0.0,1423624.0,0.0,0.0,269081.0,0.0,0.0,813711.0,927560.0,418106.0,0.0,748610.0
Tuskegee University,"Kresge Center, 3rd Floor",Tuskegee,AL,NCAA Division II with football,770,1298,2068,1312236.0,453993.0,74,26,86650.0,6559.0,31.0,14.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,7.0,12.0,59092.0,119534.0,0.0,212259.0,0.0,0.0,0.0,0.0,0.0,20590.0,16027.0,0.0,0.0,97747.0,0.0,0.0,0.0,0.0,0.0,0.0,82099.0,16381.0,14143.0,19592.0,244146.0,854255.0,0.0,2429762.0,0.0,0.0,0.0,0.0,0.0,119798.0,50013.0,0.0,0.0,562550.0,0.0,0.0,0.0,0.0,0.0,0.0,327272.0,107875.0,67529.0,125244.0,244146.0,854255.0,0.0,2429762.0,0.0,0.0,0.0,0.0,0.0,119798.0,50013.0,0.0,0.0,562550.0,0.0,0.0,0.0,0.0,0.0,0.0,327272.0,107875.0,67529.0,125244.0
Bevill State Community College,1411 Indiana Avenue,Jasper,AL,NJCAA Division I,448,598,1046,285007.0,264889.0,52,48,0.0,0.0,34.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,0.0,13.0,53445.0,41164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52400.0,5171.0,0.0,14525.0,266910.0,172881.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247455.0,35270.0,0.0,149339.0,265204.0,171698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246887.0,35270.0,0.0,148403.0
